"","spacer","ch108_read54","ch111_read38","ch112_read40","ch138_read274","ch140_read13","ch147_read24","ch15_read97","ch155_read72","ch156_read26","ch156_read60","ch202_read25","ch244_read11","ch244_read13","ch244_read15","ch244_read5","ch244_read7","ch244_read9","ch257_read23","ch266_read76","ch271_read82","ch285_read54","ch287_read26","ch288_read9","ch295_read67","ch299_read32","ch301_read49","ch70_read41","ch72_read38","ch77_read59","ch82_read77"
"1","12",0,0.34375,0.875,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0.78125,0,0,0.9375,0,0.875,0,0.9375,0.90625,0
"2","47",0,0,0,0,0,0,1,0,0,0.9375,0,0,0,0,0,0,0,0.78125,0,1,0.96875,0,0,1,0.84375,0.90625,0,0,0.9375,0.84375
"3","22",0,0,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,0.96875,0.90625,0,0,0.96875,0.9375,0,0,0,0.90625,1
"4","27",0,0,0.9375,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.96875,0.59375,0,0,0.96875,1,0,0,0,0.8125,0.84375
"5","42",0,0,0,0,0,0,0.90625,0,0,0,0,0,0,0,0,0,0,0.9375,0,1,0.75,0,0,0.9375,0.90625,0,0,0,1,0.90625
"6","33",0,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0.9375,0,0,0.9375,0.78125,0,0,0,0.96875,1
"7","36",0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0.90625,0,0,1,0.78125,0,0,0,0.78125,1
"8","53",0,0,0,0.9375,0,0,0.90625,0,0,0.90625,0,0,0,0,0,0,0,0.90625,0.90625,0.96875,0.84375,0,0,0.9375,0.9375,0.96875,0,0,0.875,0.96875
"9","15",0,0,0.96875,0,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,1,0.96875,0,0,0.9375,0,0,0,0,1,0.96875
"10","49",0,0,0,0.90625,0,0,0.90625,0,0,1,0,0,0,0,0,0,0,0.90625,0,0.96875,0.34375,0,0,0.90625,0.875,1,0,0,0.875,0.96875
"11","9",0,0,0.875,0,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0.78125,0,0,0.84375,0,0,0.96875,0,0.9375,0,0.9375,0.96875,0
"12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0.9375,0,0,0,0,0,0
"13","41",0,0,0,0,0,0,0.96875,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,1,0,0,0.90625,0.96875,0,0,0,1,0.84375
"14","21",0,0,0.96875,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.9375,0.0625,0,0,0,0.875,0.96875
"15","26",0,0,0.8125,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0.9375,0.96875,0,0,0.96875,0.96875,0,0,0,0.84375,0.96875
"16","32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.96875,0.875,0,0,1,0.84375,0,0,0,0.96875,0.96875
"17","23",0,0,0.90625,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0.90625,0.6875,0,0,0.9375,0.9375,0,0,0,0.9375,0.8125
"18","39",0,0,0,0,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0.90625,0,1,0.78125,0,0,0.9375,0.9375,0,0,0,0.96875,0.90625
"19","20",0,0,1,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.96875,0.96875,0,0,0.8125,0,0,0,0,0.9375,0.90625
"20","25",0,0,1,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,0,1,0.875,0,0,0.875,0.90625,0,0,0,0.875,0.9375
"21","43",0,0,0,0,0,0,0.90625,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,1,0,0,0.96875,0.75,0.96875,0,0,0.96875,0.96875
"22","2",0,0,0.90625,0,0.84375,0,0.84375,0.9375,0,0.46875,0,0,0,0,0,0,0,0,0.9375,0.90625,0.4375,0,0,0.375,0,0.875,0,0.875,1,0
"23","35",0,0,0.9375,0,0,0,0.59375,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0.71875,0,0,0.96875,0.96875,0,0,0,0.90625,1
"24","34",0,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.875,0.9375,0,0,0,0.9375,0.9375
"25","11",0,0.84375,0.90625,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,0,0.875,0,0,0.84375,0,0.875,0,0.90625,0.84375,0
"26","10",0,0.71875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.90625,0.9375,0
"27","45",0,0,0,0,0,0,0.96875,0,0,0.96875,0,0,0,0,0,0,0,0.875,0,0.9375,0.84375,0,0,0.9375,1,0.96875,0,0,0.9375,1
"28","18",0,0,0.90625,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0.96875,0.875,0,0,0.96875,0,0,0,0,0.84375,0.84375
"29","46",0,0,0,0,0,0,0.8125,0,0,1,0,0,0,0,0,0,0,0.90625,0,0.96875,0.65625,0,0,0.9375,0.96875,0.75,0,0,0.84375,0.9375
"30","37",0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,1,0,0.6875,0.90625,0,0,0.96875,1,0,0,0,0.9375,0.96875
"31","3'flank",0,0,0.81592039800995,0,0.830845771144279,0.741293532338308,0.72636815920398,0.855721393034826,0,0.681592039800995,0,0,0,0,0,0,0,0,0.676616915422886,0.796019900497512,0,0,0,0.845771144278607,0,0.860696517412935,0,0.761194029850746,0.741293532338308,0.840796019900497
"32","16",0,0,0.875,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9375,0.875,0,0,0.78125,0,0,0,0,0.8125,0.90625
"33","4",0,0,0.875,0,0.96875,0,0,0.9375,0,0.125,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0.90625,0,0.90625,0,0.875,0.9375,0
"34","24",0,0,0.8125,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,0,0.8125,1,0,0,1,0.96875,0,0,0,0.28125,0.78125
"35","17",0,0,0.875,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,1,0.875,0,0,0.8125,0,0,0,0,0.78125,0.875
"36","6",0,0,1,0,0.96875,0.9375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,0,0.78125,0,1,0,0.90625,0.90625,0
"37","30",0,0,0.90625,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0.96875,0.875,0,0,0.90625,0.90625,0,0,0,0.875,0.78125
"38","44",0,0,0,0,0,0,0.90625,0,0,0.96875,0,0,0,0,0,0,0,0.96875,0,0.96875,0.875,0,0,0.9375,0.90625,0.9375,0,0,1,0.9375
"39","28",0,0,0.9375,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.96875,0.875,0,0,0.96875,0.875,0,0,0,0.9375,1
"40","38",0,0,0,0,0,0,0.78125,0,0,0,0,0,0,0,0,0,0,0.8125,0,1,1,0,0,0.8125,0.90625,0,0,0,0.9375,1
"41","50",0,0,0,0.8125,0,0,0.90625,0,0,1,0,0,0,0,0,0,0,1,0,0.96875,0.96875,0,0,1,0.9375,0.9375,0,0,0.8125,0.9375
"42","52",0,0,0,0.75,0,0,0.75,0,0,0.96875,0,0,0,0,0,0,0,0.90625,0.71875,0.96875,1,0,0,0.96875,0.8125,0.78125,0,0,0.96875,0.84375
"43","5",0,0,0.9375,0,1,0,0,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0.625,0,0.875,0,0.90625,0.90625,0
"44","51",0,0,0,0.8125,0,0,0.9375,0,0,0.78125,0,0,0,0,0,0,0,0.8125,0.875,0.875,0.90625,0,0,0.8125,0.875,0.90625,0,0,0.84375,0.9375
"45","40",0,0,0,0,0,0,0.65625,0,0,0,0,0,0,0,0,0,0,1,0,0.84375,0.75,0,0,0.875,0.90625,0,0,0,0.78125,0.84375
"46","7",0,0,0.9375,0,0.8125,0.75,0,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.875,0,0.9375,0,0.90625,0.96875,0
"47","31",0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,1,0.96875,0,0,0.90625,0.9375,0,0,0,0.90625,0.875
"48","48",0,0,0,0.4375,0,0,0.9375,0,0,0.9375,0,0,0,0,0,0,0,0.96875,0,0.90625,0.84375,0,0,1,0.9375,0.875,0,0,0.96875,0.96875
"49","14",0,0,0.875,0,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,0.84375,0.96875,0,0,0.9375,0,0.78125,0,0,0.84375,0
"50","29",0,0,0.84375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0,1,0.875,0,0,0.90625,0.8125,0,0,0,0.9375,1
"51","13",0,0,0.84375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0.90625,0,0,0.96875,0,0,0.875,0,0.90625,0,0,0.90625,0
"52","19",0,0,0.90625,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,0,0.90625,0.8125,0,0,0.90625,0,0,0,0,0.84375,0.90625
"53","3",0,0,0.90625,0,1,0,0.9375,0.875,0,0.40625,0,0,0,0,0,0,0,0,1,0,0.84375,0,0,0.875,0,0.96875,0,0.8125,1,0
"54","8",0,0,0.96875,0,0.90625,0.625,0,0.78125,0,0.9375,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0.75,0,0.96875,0,0.96875,0.6875,0
"55","5'flank",0,0,0,0.880597014925373,0,0,0.945273631840796,0,0,0.945273631840796,0,0,0,0,0,0,0,0.90547263681592,0.91044776119403,0.950248756218905,0.930348258706468,0,0,0.925373134328358,0.970149253731343,0.935323383084577,0,0.930348258706468,0.925373134328358,0.950248756218905
